time,open,high,low,close,mean,volume,adjMean
1752186355,163.87,163.87,163.87,163.87,608.8,405,608.8
1752186370,163.87,163.88,163.87,163.88,672.9,863,672.9
1752186380,163.8797,163.8797,163.8797,163.8797,687.9,250,687.9
1752186385,163.8701,163.8701,163.8701,163.8701,684.1,100,684.1
1752186400,163.87,163.87,163.87,163.87,686.6,125,686.6
1752186410,163.87,163.87,163.87,163.87,716.2,711,716.2
1752186420,163.87,163.87,163.87,163.87,719.5,183,719.5
1752186425,163.8701,163.8701,163.8701,163.8701,326.9,200,326.9
1752186455,163.88,163.88,163.8799,163.8799,342.9,260,342.9
1752186460,163.88,163.88,163.88,163.88,359.6,499,359.6
1752186465,163.88,163.88,163.88,163.88,329.1,100,329.1
1752186480,163.88,163.88,163.88,163.88,380.6,1378,380.6
1752186500,163.89,163.89,163.89,163.89,365.6,100,365.6
1752186545,163.87,163.87,163.87,163.87,370.6,150,370.6
1752186550,163.89,163.9,163.88,163.9,803,4449,803
1752186555,163.8703,163.8703,163.8703,163.8703,784.4,525,784.4
1752186565,163.9,163.9,163.9,163.9,805.2,391,805.2
1752186575,163.87,163.87,163.87,163.87,795.2,100,795.2
1752186600,163.86,163.86,163.86,163.86,779.2,100,779.2
1752186610,163.9,163.9,163.9,163.9,739.9,106,739.9
1752186625,163.89,163.89,163.89,163.89,749.9,200,749.9
1752186690,163.8995,163.8995,163.8995,163.8995,707.3,952,707.3
1752186700,163.9,163.9,163.9,163.9,722.3,250,722.3
1752186705,163.88,163.8801,163.88,163.88,740.3,330,740.3
1752186710,163.88,163.88,163.88,163.88,315.4,200,315.4
1752186745,163.89,163.89,163.89,163.89,322.9,600,322.9
1752186755,163.889,163.9,163.889,163.9,381.1,973,381.1
1752186790,163.899,163.899,163.899,163.899,391.1,200,391.1
1752186795,163.9,163.9,163.899,163.9,541.8,1607,541.8
1752186805,163.89,163.89,163.89,163.89,541.2,100,541.2
1752186830,163.88,163.88,163.88,163.88,561.2,400,561.2
1752186870,163.88,163.88,163.88,163.88,486.9,209,486.9
1752186885,163.88,163.88,163.88,163.88,471.9,100,471.9
1752186890,163.8797,163.8797,163.8797,163.8797,457,181,457
1752186900,163.87,163.87,163.87,163.87,487,500,487
1752186915,163.8701,163.8701,163.8701,163.8701,437,100,437
1752186920,163.88,163.88,163.88,163.88,387.9,482,387.9
1752186925,163.87,163.87,163.87,163.87,427.9,600,427.9
1752186945,163.87,163.87,163.87,163.87,319.9,527,319.9
1752186950,163.87,163.87,163.87,163.87,334.9,250,334.9
1752186955,163.88,163.88,163.88,163.88,344.9,500,344.9
1752186960,163.88,163.88,163.88,163.88,341.1,171,341.1
1752186975,163.8703,163.8703,163.8703,163.8703,341.1,100,341.1
1752187005,163.88,163.88,163.88,163.88,335.2,122,335.2
1752187060,163.88,163.88,163.88,163.88,297.5,123,297.5
1752187070,163.8702,163.8702,163.8702,163.8702,387.5,1000,387.5
1752187080,163.87,163.87,163.87,163.87,364.2,249,364.2
1752187100,163.8702,163.8702,163.8702,163.8702,326.2,220,326.2
1752187110,163.88,163.88,163.88,163.88,293.5,200,293.5
1752187145,163.8702,163.8702,163.8702,163.8702,318.5,500,318.5
1752187155,163.88,163.88,163.87,163.87,344.1,756,344.1
1752187165,163.87,163.87,163.87,163.87,347,200,347
1752187170,163.85,163.85,163.85,163.85,357,200,357
1752187200,163.85,163.85,163.85,163.85,369.8,250,369.8
1752187220,163.86,163.86,163.86,163.86,372.3,148,372.3
1752187225,163.87,163.87,163.87,163.87,282.3,100,282.3
1752187240,163.85,163.85,163.85,163.85,347.4,900,347.4
1752187260,163.85,163.85,163.85,163.85,341.4,160,341.4
1752187285,163.85,163.85,163.85,163.85,331.4,100,331.4
1752187290,163.84,163.84,163.84,163.84,1149.3,8679,1149.3
1752187295,163.84,163.85,163.84,163.84,1862.7,7890,1862.7
1752187315,163.84,163.84,163.84,163.84,1858.4,157,1858.4
1752187340,163.86,163.86,163.86,163.86,1848.4,100,1848.4
1752187370,163.85,163.85,163.85,163.85,1873.4,500,1873.4
